frame,detected,det_x,det_y,kf_x,kf_y,confidence
433,True,642,687,599,807,0.44367924332618713
434,True,657,657,605,796,0.39123302698135376
435,True,665,638,608,788,0.15793801844120026
436,True,678,607,613,776,0.526378333568573
437,True,687,591,616,770,0.26095637679100037
438,True,694,572,619,763,0.18129348754882812
439,True,705,551,623,755,0.7263730764389038
440,True,712,533,626,748,0.5102716684341431
441,False,,,622,743,0.0
442,True,729,501,660,656,0.7310711741447449
443,True,735,488,662,651,0.3076637089252472
444,True,740,477,664,647,0.22345271706581116
445,True,749,462,667,642,0.407336562871933
446,True,753,455,669,639,0.6810497045516968
447,False,,,673,616,0.0
448,False,,,677,592,0.0
449,False,,,681,568,0.0
450,True,774,415,729,488,0.14766690135002136
451,True,779,408,732,484,0.5878676176071167
452,True,784,402,735,481,0.4938787817955017
453,False,,,748,443,0.0
454,False,,,761,404,0.0
455,True,798,384,779,394,0.2636549770832062
456,False,,,796,354,0.0
457,False,,,812,314,0.0
458,False,,,828,274,0.0
459,False,,,844,234,0.0
460,False,,,860,194,0.0
461,True,820,360,831,311,0.38321834802627563
462,True,823,358,833,309,0.5537464022636414
463,True,827,357,836,308,0.4032978415489197
464,True,830,355,838,307,0.4775393009185791
465,False,,,852,282,0.0
466,False,,,865,257,0.0
467,False,,,878,232,0.0
468,False,,,891,206,0.0
469,False,,,905,181,0.0
470,False,,,918,156,0.0
471,False,,,931,131,0.0
472,False,,,945,106,0.0
473,False,,,958,80,0.0
474,False,,,971,55,0.0
475,True,855,337,868,305,0.6349687576293945
476,True,857,328,869,297,0.21156826615333557
477,False,,,873,294,0.0
478,False,,,877,290,0.0
479,False,,,881,287,0.0
480,False,,,885,284,0.0
481,False,,,889,281,0.0
482,True,867,282,872,281,0.18671339750289917
483,False,,,875,278,0.0
484,True,870,268,872,273,0.43173980712890625
485,True,871,262,873,270,0.39507561922073364
486,True,872,259,873,269,0.564563512802124
487,False,,,875,264,0.0
488,False,,,877,260,0.0
489,False,,,879,255,0.0
490,False,,,880,251,0.0
491,False,,,882,247,0.0
492,False,,,884,242,0.0
493,False,,,886,238,0.0
494,False,,,888,234,0.0
495,True,881,221,882,223,0.2647354006767273
496,True,880,219,881,221,0.11039547622203827
497,False,,,882,215,0.0
498,False,,,883,210,0.0
499,False,,,884,204,0.0
500,False,,,885,198,0.0
501,False,,,886,192,0.0
502,False,,,887,187,0.0
503,False,,,889,181,0.0
504,False,,,890,175,0.0
505,False,,,891,169,0.0
506,False,,,892,163,0.0
507,False,,,893,158,0.0
508,False,,,894,152,0.0
509,False,,,895,146,0.0
510,False,,,896,140,0.0
511,False,,,897,135,0.0
512,False,,,898,129,0.0
513,False,,,899,123,0.0
514,False,,,900,117,0.0
515,True,893,211,893,207,0.15517207980155945
516,False,,,893,207,0.0
517,False,,,894,207,0.0
518,False,,,895,207,0.0
519,False,,,895,206,0.0
520,False,,,896,206,0.0
521,False,,,896,206,0.0
522,False,,,897,206,0.0
523,False,,,898,206,0.0
524,False,,,898,206,0.0
525,False,,,899,205,0.0
526,False,,,899,205,0.0
527,False,,,900,205,0.0
528,False,,,901,205,0.0
529,False,,,901,205,0.0
530,False,,,902,205,0.0
531,False,,,902,204,0.0
532,False,,,903,204,0.0
533,False,,,904,204,0.0
534,False,,,904,204,0.0
535,False,,,905,204,0.0
536,False,,,906,203,0.0
537,False,,,906,203,0.0
538,False,,,907,203,0.0
539,False,,,907,203,0.0
540,False,,,908,203,0.0
541,True,854,282,854,280,0.42141857743263245
542,True,852,287,852,285,0.649416446685791
543,True,848,290,848,288,0.5902000069618225
544,True,846,295,847,293,0.12389624118804932
545,False,,,844,297,0.0
546,False,,,842,301,0.0
547,False,,,839,306,0.0
548,False,,,837,310,0.0
549,False,,,835,314,0.0
550,True,831,330,832,326,0.5633985996246338
551,True,829,336,830,330,0.690403401851654
552,True,827,342,829,335,0.10678379982709885
553,True,822,352,825,342,0.2661072313785553
554,True,821,358,824,347,0.2592901289463043
555,False,,,820,355,0.0
556,False,,,817,363,0.0
557,False,,,813,371,0.0
558,False,,,809,380,0.0
559,False,,,806,388,0.0
560,True,804,404,804,400,0.44297459721565247
561,True,799,411,800,405,0.17036888003349304
562,False,,,796,415,0.0
563,False,,,791,426,0.0
564,False,,,787,436,0.0
565,False,,,783,447,0.0
