frame,detected,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,quality
178,0,,,,,,,,
179,0,,,,,,,,
180,0,,,,,,,,
181,0,,,,,,,,
182,1,781.3833671399594,774.8296146044624,7.543076566081423,764.3322082353186,772.571743924222,798.4345260446003,777.0874852847029,5.302136771520971
183,1,781.501066098081,773.319829424307,16.070638221441733,765.3575909363249,768.6692155184057,797.6445412598371,777.9704433302084,4.833352602383706
184,1,781.759009009009,775.8671171171171,15.894883279463867,766.7554629772874,771.5946931594542,796.7625550407306,780.13954107478,4.4051895865112245
185,0,,,,,,,,
186,0,,,,,,,,
187,0,,,,,,,,
188,0,,,,,,,,
189,0,,,,,,,,
190,0,,,,,,,,
191,0,,,,,,,,
192,0,,,,,,,,
193,0,,,,,,,,
194,0,,,,,,,,
195,0,,,,,,,,
196,0,,,,,,,,
197,0,,,,,,,,
198,0,,,,,,,,
199,0,,,,,,,,
200,0,,,,,,,,
201,0,,,,,,,,
202,0,,,,,,,,
203,0,,,,,,,,
204,0,,,,,,,,
205,0,,,,,,,,
206,0,,,,,,,,
207,0,,,,,,,,
208,0,,,,,,,,
209,0,,,,,,,,
210,0,,,,,,,,
211,0,,,,,,,,
212,0,,,,,,,,
213,0,,,,,,,,
214,0,,,,,,,,
215,0,,,,,,,,
216,0,,,,,,,,
217,1,1170.8116591928251,147.8744394618834,-89.7298283571489,1170.7343271701059,164.27425713642668,1170.8889912155444,131.47462178734014,22.149271026135555
218,1,1170.219298245614,147.7719298245614,-90.44033382793214,1170.3514836761954,164.97142188136186,1170.0871128150327,130.57243776776093,22.755274407017954
219,0,,,,,,,,
220,0,,,,,,,,
221,0,,,,,,,,
222,0,,,,,,,,
223,0,,,,,,,,
224,0,,,,,,,,
225,0,,,,,,,,
226,0,,,,,,,,
227,0,,,,,,,,
228,0,,,,,,,,
229,0,,,,,,,,
230,0,,,,,,,,
231,0,,,,,,,,
232,1,494.3876221498371,823.4397394136807,-17.28084929873037,461.5404332795953,833.6584567168778,527.234811020079,813.2210221104837,19.481855719284162
233,1,491.3229166666667,828.1171875,-23.66959661490627,459.45044043963225,842.0880593109188,523.1953928937011,814.1463156890812,8.256375488888265
234,1,468.89841565703637,781.9925442684064,-4.788726176184698,450.56264444763644,783.5286087711345,487.2341868664363,780.4564797656783,2.2813938446991404
235,1,466.19820554649266,783.4453507340946,-12.256945026313788,447.4358622414822,787.5214363201599,484.9605488515031,779.3692651480294,2.0707373429256033
236,1,464.4485049833887,786.9215946843854,-9.308765979699993,443.92242059425604,790.2860945952494,484.9745893725214,783.5570947735213,2.163871727696921
237,1,459.84411164057184,785.7950987066031,-8.982573039627924,439.6942997767726,788.9802332176553,479.9939235043711,782.6099641955509,2.295771340563683
238,1,457.16048448145347,787.2967448902347,-10.810746426691532,438.69414522493724,790.8229772228027,475.6268237379697,783.7705125576666,1.9165003010532198
239,1,454.498997995992,787.7889111556447,-6.991805353687364,434.6477265624544,790.2234588491626,474.3502694295296,785.3543634621267,2.1149048325100037
240,1,459.6630740393627,787.8247422680413,-37.76331164592272,443.852127745177,800.0727615888285,475.4740203335484,775.5767229472541,1.0699651913249841
241,1,450.70989761092153,788.980204778157,-11.000579820397288,432.6479929657809,792.4912730756764,468.7718022560622,785.4691364806376,1.4569658232850147
